STATE,Broad_access
Alabama,79.20
Alaska,84.60
Arizona,86.40
Arkansas,76.30
California,87.30
Colorado,89.10
Connecticut,86.90
Delaware,85.30
District of Columbia,83.40
Florida,85.80
Georgia,80.10
Hawaii,85.10
Idaho,86
Illinois,83.10
Indiana,79.90
Iowa,83.00
Kansas,83.70
Kentucky,81.20
Louisiana,78.20
Maine,81.90
Maryland,87.50
Massachusetts,85.40
Michigan,83
Minnesota,85.20
Mississippi,73.40
Missouri,82.10
Montana,83.90
Nebraska,85.60
Nevada,81
New Hampshire,86.10
New Jersey,85.40
New Mexico,74.90
New York,82.10
North Carolina,81.20
North Dakota,81.00
Ohio,83.10
Oklahoma,81.20
Oregon,87.10
Pennsylvania,82.10
Puerto Rico,60
Rhode Island,84.30
South Carolina,78
South Dakota,82.10
Tennessee,80.50
Texas,84.30
Utah,86.50
Vermont,80.80
Virginia,82.70
Washington,88.30
West Virginia,77.30
Wisconsin,84.20
Wyoming,84.30
