STATE,Broad_access
Alabama,80.60
Alaska,87.40
Arizona,86.60
Arkansas,79.10
California,89.20
Colorado,90.40
Connecticut,87.80
Delaware,87.90
District of Columbia,86.60
Florida,86.20
Georgia,84.20
Hawaii,87.50
Idaho,88
Illinois,85.20
Indiana,83.10
Iowa,83.30
Kansas,84.50
Kentucky,82.30
Louisiana,79.30
Maine,84.20
Maryland,88.30
Massachusetts,88.10
Michigan,85
Minnesota,87.30
Mississippi,75.90
Missouri,83.90
Montana,84.40
Nebraska,86.30
Nevada,85
New Hampshire,88.50
New Jersey,88.50
New Mexico,77.90
New York,85.30
North Carolina,84.50
North Dakota,83.20
Ohio,84.60
Oklahoma,82.80
Oregon,88.50
Pennsylvania,84.70
Puerto Rico,65
Rhode Island,86.60
South Carolina,82
South Dakota,84.40
Tennessee,82.10
Texas,85.50
Utah,90.40
Vermont,82.60
Virginia,86.10
Washington,90.70
West Virginia,79.70
Wisconsin,85.30
Wyoming,86.90
