STATE,Broad_access
Washington,90.70
Utah,90.40
Colorado,90.40
California,89.20
New Hampshire,88.50
Oregon,88.50
New Jersey,88.50
Maryland,88.30
Massachusetts,88.10
Idaho,88
Delaware,87.90
Connecticut,87.80
Hawaii,87.50
Alaska,87.40
Minnesota,87.30
Wyoming,86.90
District of Columbia,86.60
Arizona,86.60
Rhode Island,86.60
Nebraska,86.30
Florida,86.20
Virginia,86.10
Texas,85.50
Wisconsin,85.30
New York,85.30
Illinois,85.20
Nevada,85
Michigan,85
Pennsylvania,84.70
Ohio,84.60
North Carolina,84.50
Kansas,84.50
Montana,84.40
South Dakota,84.40
Maine,84.20
Georgia,84.20
Missouri,83.90
Iowa,83.30
North Dakota,83.20
Indiana,83.10
Oklahoma,82.80
Vermont,82.60
Kentucky,82.30
Tennessee,82.10
South Carolina,82
Alabama,80.60
West Virginia,79.70
Louisiana,79.30
Arkansas,79.10
New Mexico,77.90
Mississippi,75.90
Puerto Rico,65
