"","year","county_name","connections","votingpop","population","total_turnout","percent_turnout","Broad_access"
"1",2016,"Adams County",6603,8947,19100,4644,51.9056667039231,34.5706806282722
"2",2016,"Asotin County",10016,17386,22113,9736,55.9990797193144,45.2946230724009
"3",2016,"Benton County",74930,127131,187519,80027,62.9484547435323,39.9586175267573
"4",2016,"Chelan County",37254,51849,74761,33380,64.3792551447472,49.8307941306296
"5",2016,"Clallam County",36750,58509,72969,39457,67.437488249671,50.3638531431156
"6",2016,"Clark County",179192,317386,450893,200160,63.0651635547882,39.7415794878164
"7",2016,"Columbia County",2166,3120,3971,2182,69.9358974358974,54.5454545454545
"8",2016,"Cowlitz County",44350,76779,102854,45692,59.5110642232902,43.1193730919556
"9",2016,"Douglas County",16808,25483,40101,15543,60.9936035788565,41.9141667290093
"10",2016,"Ferry County",4504,6128,7639,3601,58.7630548302872,58.9605969367718
"11",2016,"Franklin County",27422,44920,87810,23720,52.8049866429207,31.2287894317276
"12",2016,"Garfield County",1246,1670,2231,1246,74.6107784431138,55.8493948901838
"13",2016,"Grant County",36936,51246,92530,28346,55.3135854505718,39.917864476386
"14",2016,"Grays Harbor County",35989,54208,71233,28367,52.329914403778,50.5229317872334
"15",2016,"Island County",41507,63032,80113,42876,68.0225916994543,51.8105675733027
"16",2016,"Jefferson County",18410,25579,30333,20276,79.2681496540131,60.692974648073
"17",2016,"King County",917525,1436281,2079550,998499,69.5197527503323,44.1213243249742
"18",2016,"Kitsap County",111577,198029,257488,124317,62.7771690004999,43.3328931833717
"19",2016,"Kittitas County",23338,33818,42785,18955,56.0500325270566,54.5471543765338
"20",2016,"Klickitat County",10344,15716,20930,10769,68.5225248154747,49.4218824653607
"21",2016,"Lewis County",34891,56902,75724,34149,60.0137077782855,46.0765411230257
"22",2016,"Lincoln County",5996,7990,10326,5713,71.5018773466834,58.0670153011815
"23",2016,"Mason County",33321,47007,61060,28073,59.7208926330121,54.5709138552244
"24",2016,"Okanogan County",23055,28864,41299,17091,59.212167405765,55.824596237197
"25",2016,"Pacific County",16100,16472,20743,10716,65.0558523555124,77.6165453405968
"26",2016,"Pend Oreille County",8209,10220,13001,6802,66.5557729941292,63.1412968233213
"27",2016,"Pierce County",342438,599794,832896,348485,58.1007812682354,41.1141366989396
"28",2016,"San Juan County",14002,13311,16056,10774,80.940575463902,87.2072745391131
"29",2016,"Skagit County",53269,86200,120475,55968,64.9280742459397,44.2158124092135
"30",2016,"Skamania County",5823,8613,11316,5639,65.4707999535586,51.458112407211
"31",2016,"Snohomish County",306091,534199,758649,342173,64.0534707103533,40.3468534196974
"32",2016,"Spokane County",213235,364862,485859,227246,62.2827260717751,43.8882474133442
"33",2016,"Stevens County",21640,33545,43744,22677,67.6017290207184,49.4696415508413
"34",2016,"Thurston County",114743,199826,266311,129410,64.76134236786,43.0860910739699
"35",2016,"Wahkiakum County",2133,3352,4051,2358,70.346062052506,52.6536657615404
"36",2016,"Walla Walla County",24536,42760,59809,25419,59.4457436856876,41.0239261649585
"37",2016,"Whatcom County",95444,157658,209729,109673,69.5638660898908,45.5082511240696
"38",2016,"Whitman County",20621,37146,47494,17305,46.5864426856189,43.4181159725439
"39",2016,"Yakima County",88212,142097,247681,77750,54.7161446054456,35.6151662824359
"40",2020,"Adams County",6799,9200,19702,5862,63.7173913043478,34.5091868845802
"41",2020,"Asotin County",10205,17584,22636,11951,67.9651956323931,45.0830535430288
"42",2020,"Benton County",80158,135218,200715,103033,76.1976955730746,39.9362279849538
"43",2020,"Chelan County",39262,52830,76653,43306,81.972364187015,51.2204349470993
"44",2020,"Clallam County",38021,62078,76482,49264,79.3582267469957,49.7123506184462
"45",2020,"Clark County",194249,347084,481950,275403,79.3476507127957,40.3048034028426
"46",2020,"Columbia County",2181,3183,4024,2495,78.3851712221175,54.1998011928429
"47",2020,"Cowlitz County",45621,81753,108399,60280,73.7342972123347,42.0861816068414
"48",2020,"Douglas County",17758,27044,42520,21308,78.7901198047626,41.7638758231421
"49",2020,"Ferry County",4564,6357,7643,4367,68.6959257511405,59.7147716865105
"50",2020,"Franklin County",29929,50228,93681,32404,64.5138169945051,31.9477802329181
