"","STATE","YEAR","Broad_access","TOTAL_BALLOTS_COUNTED","VAP","percent_turnout","State.Code","Region","Division"
"1","Alabama",2016,79.2,2134061,3770952,56.5921019413665,"AL","South","East South Central"
"2","Alabama",2020,80.6,2325000,3939759,59.0137620093006,"AL","South","East South Central"
"3","Alaska",2016,84.6,321271,554526,57.9361472681173,"AK","West","Pacific"
"4","Alaska",2020,87.4,361400,556443,64.9482516627939,"AK","West","Pacific"
"5","Arizona",2016,86.4,2661497,5347427,49.7715443333775,"AZ","West","Mountain"
"6","Arizona",2020,86.6,3420585,5672442,60.3018065235396,"AZ","West","Mountain"
"7","Arkansas",2016,76.3,1137772,2287921,49.7295142620746,"AR","South","West South Central"
"8","Arkansas",2020,79.1,1223675,2332442,52.4632552492195,"AR","South","West South Central"
"9","California",2016,87.3,14610509,30130155,48.4913170874826,"CA","West","Pacific"
"10","California",2020,89.2,17785151,30490123,58.3308601280487,"CA","West","Pacific"
"11","Colorado",2016,89.1,2859216,4301685,66.4673494223775,"CO","West","Mountain"
"12","Colorado",2020,90.4,3295666,4579181,71.9706427852492,"CO","West","Mountain"
"13","Connecticut",2016,86.9,1675955,2827488,59.2736379429373,"CT","Northeast","New England"
"14","Connecticut",2020,87.8,1861086,2887773,64.4471016246776,"CT","Northeast","New England"
"15","Delaware",2016,85.3,445228,748217,59.5051970217196,"DE","South","South Atlantic"
"16","Delaware",2020,87.9,509241,798104,63.8063460401151,"DE","South","South Atlantic"
"17","District of Columbia",2016,83.4,312575,565352,55.2885635851646,"DC","South","South Atlantic"
"18","District of Columbia",2020,86.6,346491,544795,63.6002533062895,"DC","South","South Atlantic"
"19","Florida",2016,85.8,9580489,16533216,57.9469172845743,"FL","South","South Atlantic"
"20","Florida",2020,86.2,11144855,17593558,63.346225931105,"FL","South","South Atlantic"
"21","Georgia",2016,80.1,4165405,7831741,53.1861944872794,"GA","South","South Atlantic"
"22","Georgia",2020,84.2,5023159,8282660,60.6466883827176,"GA","South","South Atlantic"
"23","Hawaii",2016,85.1,437664,1120762,39.0505745198356,"HI","West","Pacific"
"24","Hawaii",2020,87.5,579784,1145618,50.6088416906857,"HI","West","Pacific"
"25","Idaho",2016,86,710545,1256143,56.5656139468197,"ID","West","Mountain"
"26","Idaho",2020,88,878527,1443536,60.8593758659292,"ID","West","Mountain"
"27","Illinois",2016,83.1,5666118,9887574,57.3054421640738,"IL","Midwest","East North Central"
"28","Illinois",2020,85.2,6050000,9910732,61.0449359340965,"IL","Midwest","East North Central"
"29","Indiana",2016,79.9,2807676,5072700,55.3487491868236,"IN","Midwest","East North Central"
"30","Indiana",2020,83.1,3068542,5240144,58.5583525948905,"IN","Midwest","East North Central"
"31","Iowa",2016,83,1581371,2404019,65.7803037330404,"IA","Midwest","West North Central"
