"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,073,146","3,529,431","3,543,715","447,143","448,647","441,255","441,557","490,320","1,020,046","923,126","952,858","480,303","435,049","590,229","276,831","125,782","37.6","5,468,551","5,194,683","1,244,170","992,842","5,468,551","2,708,601","2,759,950","992,842","450,695","542,147","","7,073,146","6,695,443","377,703","6,695,443","5,470,566","256,990","94,026","3,971","2,325","1,467","2,730","552,032","88,139","118,195","95,420","37,643","62,911","71,547","78,177","44,870","6,924","10,063","12,976","14,907","276,959","377,703","71,097","82,841","106,595","8,619","","7,073,146","5,803,653","370,996","212,011","705,221","82,547","318,482","","7,073,146","854,275","687,634","31,425","8,641","126,575","6,218,871","4,978,375","246,909","80,697","547,117","43,424","9,404","312,945","5,190","307,755","2,966,814","","5,008,035","2,473,916","2,534,119"
"    Margin of Error","","*****","±735","±735","±386","±3,318","±3,401","±832","±894","±905","±700","±707","±3,433","±3,317","±531","±2,067","±2,050","±0.1","±331","±2,457","±3,101","±500","±331","±545","±469","±500","±356","±384","","*****","±6,288","±6,288","±6,288","±8,083","±2,976","±2,583","±611","±424","±389","±509","±3,537","±3,081","±3,361","±2,640","±1,698","±2,345","±3,406","±3,080","±1,320","±878","±1,134","±1,485","±1,369","±7,688","±6,288","±2,574","±2,291","±2,595","±915","","*****","±9,096","±2,065","±2,600","±2,030","±2,121","±8,197","","*****","*****","±3,981","±1,933","±1,055","±3,961","*****","±1,073","±2,532","±1,993","±3,516","±1,228","±1,032","±5,430","±758","±5,288","±849","","±6,451","±3,979","±3,592"
"    Percent","","7,073,146","49.9%","50.1%","6.3%","6.3%","6.2%","6.2%","6.9%","14.4%","13.1%","13.5%","6.8%","6.2%","8.3%","3.9%","1.8%","(X)","77.3%","73.4%","17.6%","14.0%","5,468,551","49.5%","50.5%","992,842","45.4%","54.6%","","7,073,146","94.7%","5.3%","94.7%","77.3%","3.6%","1.3%","0.1%","0.0%","0.0%","0.0%","7.8%","1.2%","1.7%","1.3%","0.5%","0.9%","1.0%","1.1%","0.6%","0.1%","0.1%","0.2%","0.2%","3.9%","5.3%","1.0%","1.2%","1.5%","0.1%","","7,073,146","82.1%","5.2%","3.0%","10.0%","1.2%","4.5%","","7,073,146","12.1%","9.7%","0.4%","0.1%","1.8%","87.9%","70.4%","3.5%","1.1%","7.7%","0.6%","0.1%","4.4%","0.1%","4.4%","(X)","","5,008,035","49.4%","50.6%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","(X)","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","*****","±0.1","±0.1","±0.1","±0.1","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1"
"Adams County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,100","9,716","9,384","2,060","2,051","1,635","1,550","1,331","2,389","2,204","2,047","1,002","849","1,087","585","310","28.6","12,382","11,521","2,562","1,982","12,382","6,245","6,137","1,982","931","1,051","","19,100","18,741","359","18,741","13,538","122","342","0","5","0","0","161","33","35","25","38","6","0","24","45","0","45","0","0","4,533","359","73","115","70","0","","19,100","13,897","195","457","231","45","4,634","","19,100","11,820","11,422","24","3","371","7,280","6,813","59","34","140","45","0","189","3","186","6,313","","8,947","4,365","4,582"
"    Margin of Error","","*****","±60","±60","±34","±234","±229","±12","±2","±43","±15","±31","±91","±99","±44","±77","±60","±0.3","±57","±115","±98","±43","±57","±51","±63","±43","±12","±42","","*****","±108","±108","±108","±716","±101","±279","±19","±10","±19","±19","±51","±51","±46","±25","±44","±9","±19","±23","±39","±19","±39","±19","±19","±654","±108","±54","±42","±64","±19","","*****","±719","±102","±282","±61","±39","±646","","*****","*****","±161","±28","±4","±164","*****","±5","±54","±37","±39","±39","±19","±74","±5","±73","±44","","±358","±214","±215"
"    Percent","","19,100","50.9%","49.1%","10.8%","10.7%","8.6%","8.1%","7.0%","12.5%","11.5%","10.7%","5.2%","4.4%","5.7%","3.1%","1.6%","(X)","64.8%","60.3%","13.4%","10.4%","12,382","50.4%","49.6%","1,982","47.0%","53.0%","","19,100","98.1%","1.9%","98.1%","70.9%","0.6%","1.8%","0.0%","0.0%","0.0%","0.0%","0.8%","0.2%","0.2%","0.1%","0.2%","0.0%","0.0%","0.1%","0.2%","0.0%","0.2%","0.0%","0.0%","23.7%","1.9%","0.4%","0.6%","0.4%","0.0%","","19,100","72.8%","1.0%","2.4%","1.2%","0.2%","24.3%","","19,100","61.9%","59.8%","0.1%","0.0%","1.9%","38.1%","35.7%","0.3%","0.2%","0.7%","0.2%","0.0%","1.0%","0.0%","1.0%","(X)","","8,947","48.8%","51.2%"
"    Percent Margin of Error","","(X)","±0.3","±0.3","±0.2","±1.2","±1.2","±0.1","±0.1","±0.2","±0.1","±0.2","±0.5","±0.5","±0.2","±0.4","±0.3","(X)","±0.3","±0.6","±0.5","±0.2","(X)","±0.4","±0.4","(X)","±1.1","±1.1","","(X)","±0.6","±0.6","±0.6","±3.8","±0.5","±1.5","±0.2","±0.1","±0.2","±0.2","±0.3","±0.3","±0.2","±0.1","±0.2","±0.1","±0.2","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2","±3.4","±0.6","±0.3","±0.2","±0.3","±0.2","","(X)","±3.8","±0.5","±1.5","±0.3","±0.2","±3.4","","(X)","*****","±0.8","±0.1","±0.1","±0.9","*****","±0.1","±0.3","±0.2","±0.2","±0.2","±0.2","±0.4","±0.1","±0.4","(X)","","(X)","±1.3","±1.3"
