"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,512,465","3,759,007","3,753,458","100.1","454,612","466,264","461,832","448,114","481,872","1,146,696","1,003,698","933,227","481,184","474,362","707,093","315,840","137,671","37.8","1,653,469","6,038,812","5,858,996","5,588,865","1,440,814","1,160,604","5,858,996","2,913,529","2,945,467","98.9","1,160,604","529,372","631,232","83.9","","7,512,465","6,980,489","531,976","6,980,489","5,523,881","290,245","91,766","3,450","2,130","1,723","1,795","662,902","127,282","151,435","108,159","38,645","68,171","75,491","93,719","51,117","7,105","11,620","14,801","17,591","360,578","531,976","86,739","91,831","137,464","7,136","","7,512,465","6,007,728","425,653","223,318","854,617","94,943","493,238","","7,512,465","971,522","760,663","38,204","10,779","161,876","6,540,943","5,067,909","279,720","75,677","656,578","49,219","23,363","388,477","24,106","364,371","3,150,194","","5,344,645","2,650,829","2,693,816"
"    Margin of Error","","*****","±731","±731","±0.1","±432","±3,143","±3,153","±1,093","±1,012","±1,043","±844","±784","±4,831","±4,817","±688","±2,281","±2,171","±0.2","±264","±1,790","±264","±2,565","±4,020","±565","±264","±595","±552","±0.1","±565","±419","±426","±0.1","","*****","±8,866","±8,866","±8,866","±7,350","±4,198","±2,482","±444","±347","±376","±379","±4,179","±4,423","±3,938","±3,557","±2,077","±3,167","±3,689","±3,658","±1,289","±893","±1,321","±1,279","±1,520","±7,924","±8,866","±3,742","±1,998","±3,757","±1,112","","*****","±10,340","±2,624","±3,865","±2,175","±2,436","±7,875","","*****","*****","±5,101","±2,193","±1,370","±4,580","*****","±3,058","±4,044","±1,826","±4,186","±1,236","±2,367","±6,309","±2,291","±5,614","±389","","±6,928","±4,158","±3,812"
"    Percent","","7,512,465","50.0%","50.0%","(X)","6.1%","6.2%","6.1%","6.0%","6.4%","15.3%","13.4%","12.4%","6.4%","6.3%","9.4%","4.2%","1.8%","(X)","22.0%","80.4%","78.0%","74.4%","19.2%","15.4%","5,858,996","49.7%","50.3%","(X)","1,160,604","45.6%","54.4%","(X)","","7,512,465","92.9%","7.1%","92.9%","73.5%","3.9%","1.2%","0.0%","0.0%","0.0%","0.0%","8.8%","1.7%","2.0%","1.4%","0.5%","0.9%","1.0%","1.2%","0.7%","0.1%","0.2%","0.2%","0.2%","4.8%","7.1%","1.2%","1.2%","1.8%","0.1%","","7,512,465","80.0%","5.7%","3.0%","11.4%","1.3%","6.6%","","7,512,465","12.9%","10.1%","0.5%","0.1%","2.2%","87.1%","67.5%","3.7%","1.0%","8.7%","0.7%","0.3%","5.2%","0.3%","4.9%","(X)","","5,344,645","49.6%","50.4%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","(X)","(X)","±0.1","±0.1","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","*****","±0.1","±0.1","±0.1","±0.1","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1"
"Adams County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,702","10,087","9,615","104.9","1,862","1,975","2,085","1,504","1,499","2,554","2,196","1,949","910","974","1,345","643","206","28.0","6,943","13,461","12,759","11,865","2,685","2,194","12,759","6,505","6,254","104.0","2,194","1,050","1,144","91.8","","19,702","18,919","783","18,919","11,671","199","702","0","4","4","0","130","24","17","41","20","4","6","18","92","0","0","92","0","6,125","783","32","108","44","0","","19,702","12,316","264","899","222","124","6,701","","19,702","12,595","11,995","60","0","540","7,107","6,579","87","65","130","92","0","154","16","138","6,684","","9,200","4,668","4,532"
"    Margin of Error","","*****","±94","±94","±2.0","±5","±229","±238","±111","±106","±81","±44","±31","±125","±132","±87","±113","±68","±0.5","±58","±135","±58","±189","±84","±29","±58","±99","±76","±2.7","±29","±17","±29","±3.1","","*****","±340","±340","±340","±763","±165","±451","±20","±7","±7","±20","±76","±37","±28","±47","±28","±7","±10","±19","±88","±20","±20","±88","±20","±742","±340","±42","±42","±48","±20","","*****","±816","±169","±463","±122","±91","±756","","*****","*****","±342","±63","±20","±338","*****","±16","±49","±38","±76","±88","±20","±64","±16","±61","±34","","±446","±273","±296"
"    Percent","","19,702","51.2%","48.8%","(X)","9.5%","10.0%","10.6%","7.6%","7.6%","13.0%","11.1%","9.9%","4.6%","4.9%","6.8%","3.3%","1.0%","(X)","35.2%","68.3%","64.8%","60.2%","13.6%","11.1%","12,759","51.0%","49.0%","(X)","2,194","47.9%","52.1%","(X)","","19,702","96.0%","4.0%","96.0%","59.2%","1.0%","3.6%","0.0%","0.0%","0.0%","0.0%","0.7%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.1%","0.5%","0.0%","0.0%","0.5%","0.0%","31.1%","4.0%","0.2%","0.5%","0.2%","0.0%","","19,702","62.5%","1.3%","4.6%","1.1%","0.6%","34.0%","","19,702","63.9%","60.9%","0.3%","0.0%","2.7%","36.1%","33.4%","0.4%","0.3%","0.7%","0.5%","0.0%","0.8%","0.1%","0.7%","(X)","","9,200","50.7%","49.3%"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","±0.1","±1.2","±1.2","±0.6","±0.5","±0.4","±0.2","±0.2","±0.6","±0.7","±0.4","±0.6","±0.3","(X)","±0.3","±0.7","±0.3","±1.0","±0.4","±0.1","(X)","±0.7","±0.7","(X)","(X)","±0.8","±0.8","(X)","","(X)","±1.7","±1.7","±1.7","±3.9","±0.8","±2.3","±0.2","±0.1","±0.1","±0.2","±0.4","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.4","±0.2","±0.2","±0.4","±0.2","±3.8","±1.7","±0.2","±0.2","±0.2","±0.2","","(X)","±4.1","±0.9","±2.4","±0.6","±0.5","±3.8","","(X)","*****","±1.7","±0.3","±0.2","±1.7","*****","±0.1","±0.3","±0.2","±0.4","±0.4","±0.2","±0.3","±0.1","±0.3","(X)","","(X)","±1.9","±1.9"
